,EmpId,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,Department_x,StandardHours_x,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,BusinessTravel,Department_y,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours_y,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Age_group,Income_group
10,100011,35,16,3,Medical,Male,Married,No,Research & Development,200,12.0,2426,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,2,0,3,200,6,5,3,5,4,0,3,No,35-44,2001-4000
11,100012,29,15,2,Life Sciences,Female,Single,No,Research & Development,200,21.0,4193,12,0,Travel_Rarely,Research & Development,2,Laboratory Technician,3,0,3,200,10,3,3,9,5,0,8,Yes,25-34,4001-6000
12,100012,29,15,2,Life Sciences,Female,Single,No,Research & Development,200,21.0,4193,12,0,Travel_Rarely,Research & Development,2,Laboratory Technician,4,0,3,200,10,3,3,9,5,0,8,Yes,25-34,4001-6000
13,100013,31,26,1,Life Sciences,Male,Divorced,No,Research & Development,200,15.0,2911,17,1,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,5,1,2,5,2,4,3,No,25-34,2001-4000
14,100014,34,19,2,Medical,Male,Divorced,No,Research & Development,200,13.0,2661,11,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,0,3,200,3,2,3,2,2,1,2,No,25-34,2001-4000
16,100016,29,21,4,Life Sciences,Female,Divorced,No,Research & Development,200,50.0,9980,11,1,Travel_Rarely,Research & Development,3,Manufacturing Director,1,1,3,200,10,1,3,10,9,8,8,No,25-34,8001-12000
17,100017,32,5,2,Life Sciences,Male,Divorced,No,Research & Development,200,16.0,3298,12,2,Travel_Rarely,Research & Development,1,Research Scientist,2,0,3,200,7,5,2,6,2,0,5,Yes,25-34,2001-4000
18,100018,22,16,2,Medical,Male,Divorced,No,Research & Development,200,15.0,2935,13,2,Non-Travel,Research & Development,1,Laboratory Technician,4,1,3,200,1,2,2,1,0,0,0,Yes,18-24,2001-4000
19,100018,22,16,2,Medical,Male,Divorced,No,Research & Development,200,15.0,2935,13,2,Non-Travel,Research & Development,1,Laboratory Technician,3,1,3,200,1,2,2,1,0,0,0,Yes,18-24,2001-4000
20,100019,53,2,4,Life Sciences,Female,Married,No,Sales,200,77.0,154270,16,0,Travel_Rarely,Sales,4,Manager,4,2,3,200,31,3,3,25,8,3,7,No,45-54,>15000
21,100020,38,2,3,Life Sciences,Male,Single,No,Research & Development,200,20.0,3944,11,0,Travel_Rarely,Research & Development,1,Research Scientist,4,5,3,200,6,3,3,3,2,1,2,Yes,35-44,2001-4000
22,100021,24,11,2,Other,Female,Divorced,No,Research & Development,200,20.0,4011,18,1,Non-Travel,Research & Development,2,Manufacturing Director,3,0,3,200,5,5,2,4,2,1,3,No,18-24,4001-6000
23,100022,36,9,4,Life Sciences,Male,Single,Yes,Sales,200,17.0,3407,23,0,Travel_Rarely,Sales,1,Sales Representative,1,7,4,200,10,4,3,5,3,0,3,No,35-44,2001-4000
24,100023,34,7,4,Life Sciences,Female,Single,No,Research & Development,200,60.0,119940,11,0,Travel_Rarely,Research & Development,3,Research Director,2,0,3,200,13,4,3,12,6,2,11,No,25-34,>15000
25,100024,21,15,2,Life Sciences,Male,Single,No,Research & Development,200,6.0,1232,14,0,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,0,6,3,0,0,0,0,No,18-24,1000-2000
26,100025,34,6,1,Medical,Male,Single,Yes,Research & Development,200,15.0,2960,11,0,Travel_Rarely,Research & Development,1,Research Scientist,1,2,1,200,8,2,3,4,2,1,3,No,25-34,2001-4000
27,100026,53,5,3,Other,Female,Divorced,No,Research & Development,200,95.0,19094,11,1,Travel_Rarely,Research & Development,5,Manager,3,4,3,200,26,3,2,14,13,4,8,No,45-54,>15000
28,100027,32,16,1,Life Sciences,Female,Single,Yes,Research & Development,200,20.0,3919,22,0,Travel_Frequently,Research & Development,1,Research Scientist,1,1,1,200,10,5,3,10,2,6,7,Yes,25-34,2001-4000
29,100028,42,8,4,Marketing,Male,Married,No,Sales,200,34.0,6825,11,1,Travel_Rarely,Sales,2,Sales Executive,2,0,3,200,10,2,3,9,7,4,2,No,35-44,6001-8000
30,100029,44,7,4,Medical,Female,Married,No,Research & Development,200,51.0,10248,14,1,Travel_Rarely,Research & Development,3,Healthcare Representative,4,3,3,200,24,4,3,22,6,5,17,No,35-44,8001-12000
31,100030,46,2,4,Marketing,Female,Single,No,Sales,200,95.0,18947,12,0,Travel_Rarely,Sales,5,Manager,1,3,3,200,22,2,2,2,2,2,1,No,45-54,>15000
32,100031,33,2,3,Medical,Male,Single,No,Research & Development,200,12.0,2496,11,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,4,3,200,7,3,3,1,1,0,0,No,25-34,2001-4000
33,100032,44,10,4,Other,Male,Married,No,Research & Development,200,32.0,6465,13,0,Travel_Rarely,Research & Development,2,Healthcare Representative,4,2,3,200,9,5,4,4,2,1,3,Yes,35-44,6001-8000
34,100033,30,9,2,Medical,Male,Single,No,Research & Development,200,11.0,2206,13,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,10,5,3,10,0,1,8,No,25-34,2001-4000
35,100034,39,5,3,Technical Degree,Male,Married,Yes,Sales,200,10.0,2086,14,1,Travel_Rarely,Sales,2,Sales Representative,4,3,3,200,19,6,4,1,0,0,0,No,35-44,2001-4000
36,100035,24,1,3,Medical,Male,Married,Yes,Research & Development,200,11.0,2293,16,1,Travel_Rarely,Research & Development,1,Research Scientist,4,2,3,200,6,2,2,2,0,2,0,Yes,18-24,2001-4000
37,100036,43,2,2,Medical,Female,Divorced,No,Research & Development,200,13.0,2645,12,2,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,6,3,2,5,3,1,4,No,35-44,2001-4000
38,100037,50,3,2,Marketing,Male,Married,Yes,Sales,200,13.0,2683,14,0,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,3,2,3,3,2,0,2,Yes,45-54,2001-4000
40,100039,36,5,4,Life Sciences,Female,Married,No,Research & Development,200,17.0,3419,14,1,Travel_Rarely,Research & Development,1,Research Scientist,1,9,3,200,6,3,4,1,1,0,0,Yes,35-44,2001-4000
41,100040,33,1,3,Life Sciences,Female,Married,No,Sales,200,27.0,5376,19,2,Travel_Frequently,Sales,2,Sales Executive,1,2,3,200,10,3,3,5,3,1,3,No,25-34,4001-6000
42,100041,35,4,2,Other,Male,Divorced,No,Research & Development,200,10.0,1951,12,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,3,3,1,0,0,0,No,35-44,1000-2000
43,100042,27,2,4,Life Sciences,Female,Divorced,No,Research & Development,200,12.0,2341,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,1,6,3,1,0,0,0,No,25-34,2001-4000
44,100043,26,25,3,Life Sciences,Male,Single,Yes,Research & Development,200,11.0,2293,12,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,1,2,2,1,0,0,1,No,25-34,2001-4000
45,100044,27,8,3,Life Sciences,Male,Single,No,Sales,200,44.0,8726,15,0,Travel_Frequently,Sales,3,Sales Executive,3,1,3,200,9,0,3,9,8,1,7,No,25-34,8001-12000
46,100045,30,1,2,Medical,Female,Single,No,Research & Development,200,20.0,4011,23,0,Travel_Frequently,Research & Development,2,Laboratory Technician,4,1,4,200,12,2,3,12,8,3,7,No,25-34,4001-6000
47,100046,41,12,3,Technical Degree,Female,Married,Yes,Research & Development,200,98.0,19545,12,0,Travel_Rarely,Research & Development,5,Research Director,3,1,3,200,23,0,3,22,15,15,8,No,35-44,>15000
48,100047,34,23,4,Marketing,Male,Single,No,Sales,200,23.0,4568,20,0,Non-Travel,Sales,2,Sales Executive,3,0,4,200,10,2,3,9,5,8,7,No,25-34,4001-6000
49,100048,37,19,2,Life Sciences,Male,Married,No,Research & Development,200,15.0,3022,21,0,Travel_Rarely,Research & Development,1,Research Scientist,2,4,4,200,8,1,3,1,0,0,0,No,35-44,2001-4000
50,100049,46,5,4,Marketing,Male,Single,No,Sales,200,29.0,5772,21,0,Travel_Frequently,Sales,2,Sales Executive,4,4,4,200,14,4,3,9,6,0,8,Yes,45-54,4001-6000
51,100050,35,8,1,Life Sciences,Male,Married,No,Research & Development,200,11.0,2269,19,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,2,3,1,0,0,1,No,35-44,2001-4000
52,100051,48,1,2,Life Sciences,Male,Single,Yes,Research & Development,200,27.0,5381,13,0,Travel_Rarely,Research & Development,3,Laboratory Technician,3,9,3,200,23,2,3,1,0,0,0,Yes,45-54,4001-6000
53,100052,28,5,4,Technical Degree,Male,Single,Yes,Research & Development,200,17.0,3441,13,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,2,3,2,2,2,2,2,Yes,25-34,2001-4000
54,100053,44,1,5,Marketing,Female,Divorced,No,Sales,200,27.0,5454,21,1,Travel_Rarely,Sales,2,Sales Executive,1,5,4,200,9,2,2,4,3,1,3,Yes,35-44,4001-6000
55,100053,44,1,5,Marketing,Female,Divorced,No,Sales,200,27.0,5454,21,1,Travel_Rarely,Sales,2,Sales Executive,1,4,4,200,9,2,2,4,3,1,3,Yes,35-44,4001-6000
56,100054,35,11,2,Medical,Male,Married,No,Research & Development,200,49.0,9884,13,1,Non-Travel,Research & Development,3,Healthcare Representative,1,2,3,200,10,3,3,4,0,2,3,Yes,35-44,8001-12000
57,100055,26,23,3,Marketing,Female,Married,No,Sales,200,21.0,4157,19,1,Travel_Rarely,Sales,2,Sales Executive,4,7,3,200,5,2,2,2,2,0,0,Yes,25-34,4001-6000
58,100056,33,1,2,Life Sciences,Female,Single,No,Research & Development,200,67.0,13458,12,0,Travel_Frequently,Research & Development,3,Research Director,4,1,3,200,15,1,3,15,14,8,12,Yes,25-34,12001-15000
59,100057,35,18,5,Life Sciences,Male,Married,No,Sales,200,45.0,9069,22,1,Travel_Frequently,Sales,3,Sales Executive,1,1,4,200,9,3,2,9,8,1,8,No,35-44,8001-12000
60,100058,35,23,4,Medical,Female,Married,No,Research & Development,200,20.0,4014,15,1,Travel_Rarely,Research & Development,1,Laboratory Technician,1,3,3,200,4,3,3,2,2,2,2,Yes,35-44,4001-6000
61,100059,31,7,4,Life Sciences,Male,Divorced,No,Research & Development,200,30.0,5915,22,1,Travel_Rarely,Research & Development,2,Laboratory Technician,4,3,4,200,10,3,2,7,7,1,7,No,25-34,4001-6000
62,100060,37,1,4,Life Sciences,Male,Divorced,No,Research & Development,200,30.0,5993,18,1,Travel_Rarely,Research & Development,2,Manufacturing Director,3,1,3,200,7,2,4,7,5,0,7,No,35-44,4001-6000
63,100061,32,1,3,Medical,Male,Married,No,Research & Development,200,31.0,6162,22,1,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,4,200,9,3,3,9,8,7,8,Yes,25-34,6001-8000
64,100062,38,29,5,Life Sciences,Female,Single,No,Research & Development,200,12.0,2406,11,0,Travel_Frequently,Research & Development,2,Laboratory Technician,4,1,3,200,10,2,3,10,3,9,9,No,35-44,2001-4000
65,100063,50,7,2,Medical,Female,Divorced,No,Research & Development,200,94.0,18740,12,1,Travel_Rarely,Research & Development,5,Research Director,3,5,3,200,29,2,2,27,3,13,8,Yes,45-54,>15000
66,100064,59,25,3,Life Sciences,Female,Single,No,Sales,200,38.0,7637,11,0,Travel_Rarely,Sales,3,Sales Executive,1,7,1,200,28,3,2,21,16,7,9,No,55-60,6001-8000
67,100065,36,8,3,Technical Degree,Female,Divorced,No,Research & Development,200,50.0,10096,13,3,Travel_Rarely,Research & Development,3,Healthcare Representative,3,1,3,200,17,2,3,17,14,12,8,No,35-44,8001-12000
68,100066,55,8,3,Medical,Female,Divorced,No,Research & Development,200,74.0,14756,14,3,Travel_Rarely,Research & Development,4,Manager,3,2,3,200,21,2,3,5,0,0,2,Yes,55-60,12001-15000
69,100067,36,11,3,Life Sciences,Male,Single,No,Research & Development,200,32.0,6499,13,0,Travel_Frequently,Research & Development,2,Manufacturing Director,2,1,1,200,6,3,3,6,5,0,3,No,35-44,6001-8000
70,100068,45,7,3,Life Sciences,Male,Divorced,No,Research & Development,200,49.0,9724,17,1,Travel_Rarely,Research & Development,3,Research Scientist,1,2,3,200,25,2,3,1,0,0,0,No,45-54,8001-12000
71,100069,35,1,3,Medical,Male,Married,No,Research & Development,200,11.0,2194,13,1,Travel_Frequently,Research & Development,1,Research Scientist,1,4,3,200,5,2,2,3,2,1,2,No,35-44,2001-4000
72,100070,36,9,3,Medical,Male,Married,Yes,Research & Development,200,17.0,3388,17,1,Travel_Rarely,Research & Development,1,Research Scientist,3,0,3,200,2,0,2,1,0,0,0,Yes,35-44,2001-4000
73,100071,59,1,1,Life Sciences,Female,Single,No,Sales,200,27.0,5473,11,0,Travel_Frequently,Sales,2,Sales Executive,3,7,3,200,20,2,2,4,3,1,3,No,55-60,4001-6000
74,100072,29,2,3,Life Sciences,Male,Married,No,Research & Development,200,14.0,2703,23,1,Travel_Rarely,Research & Development,1,Research Scientist,2,0,4,200,6,3,3,5,4,0,4,No,25-34,2001-4000
75,100073,31,1,4,Medical,Male,Single,No,Research & Development,200,13.0,2501,17,0,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,1,4,3,1,1,1,0,No,25-34,2001-4000
76,100074,32,1,3,Life Sciences,Male,Married,No,Research & Development,200,31.0,6220,17,2,Travel_Rarely,Research & Development,2,Research Scientist,2,1,3,200,10,3,3,10,4,0,9,No,25-34,6001-8000
77,100075,36,6,3,Life Sciences,Female,Married,No,Research & Development,200,15.0,3038,12,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,3,3,200,5,3,3,1,0,0,0,No,35-44,2001-4000
78,100076,31,8,4,Life Sciences,Female,Single,No,Research & Development,200,22.0,4424,23,0,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,4,200,11,2,3,11,7,1,8,No,25-34,4001-6000
79,100077,35,1,4,Marketing,Male,Single,No,Sales,200,22.0,4312,14,0,Travel_Rarely,Sales,2,Sales Executive,1,0,2,200,16,2,3,15,13,2,8,No,35-44,4001-6000
80,100078,45,6,4,Other,Male,Married,No,Research & Development,200,66.0,13245,14,0,Travel_Rarely,Research & Development,3,Research Director,1,4,3,200,17,3,4,0,0,0,0,Yes,45-54,12001-15000
81,100079,37,7,4,Medical,Male,Single,No,Research & Development,200,68.0,13664,13,0,Travel_Rarely,Research & Development,3,Research Director,3,4,3,200,16,3,4,5,2,0,2,No,35-44,12001-15000
82,100080,46,5,2,Medical,Male,Divorced,No,Human Resources,200,25.0,5021,22,1,Travel_Rarely,Human Resources,2,Human Resources,2,8,4,200,16,2,3,4,2,0,2,Yes,45-54,4001-6000
83,100081,30,1,1,Life Sciences,Male,Married,No,Research & Development,200,26.0,5126,12,2,Travel_Rarely,Research & Development,2,Laboratory Technician,4,1,3,200,10,1,2,10,8,3,0,Yes,25-34,4001-6000
84,100082,35,1,3,Medical,Male,Single,No,Research & Development,200,14.0,2859,18,0,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,6,3,3,6,4,0,4,No,35-44,2001-4000
85,100083,55,1,2,Life Sciences,Male,Married,No,Sales,200,51.0,10239,14,1,Travel_Rarely,Sales,3,Sales Executive,4,3,3,200,24,4,3,1,0,1,0,No,55-60,8001-12000
86,100084,38,6,3,Medical,Female,Divorced,No,Research & Development,200,27.0,5329,12,3,Non-Travel,Research & Development,2,Research Scientist,4,7,3,200,17,3,3,13,11,1,9,Yes,35-44,4001-6000
87,100085,34,1,2,Medical,Male,Married,No,Research & Development,200,22.0,4325,15,0,Travel_Rarely,Research & Development,2,Manufacturing Director,2,1,2,200,5,2,3,5,2,1,3,No,25-34,4001-6000
88,100086,56,7,3,Life Sciences,Male,Single,No,Research & Development,200,36.0,7260,11,0,Travel_Rarely,Research & Development,3,Manufacturing Director,4,4,3,200,37,3,2,6,4,0,2,No,55-60,6001-8000
89,100087,23,2,1,Technical Degree,Male,Divorced,No,Sales,200,12.0,2322,13,1,Travel_Rarely,Sales,1,Sales Representative,1,3,3,200,3,3,3,0,0,0,0,No,18-24,2001-4000
90,100088,51,9,4,Life Sciences,Male,Married,No,Research & Development,200,10.0,2075,23,2,Travel_Rarely,Research & Development,1,Laboratory Technician,4,3,4,200,10,4,3,4,2,0,3,No,45-54,2001-4000
91,100089,30,2,3,Life Sciences,Male,Married,No,Research & Development,200,21.0,4152,19,3,Travel_Rarely,Research & Development,2,Healthcare Representative,4,1,3,200,11,3,3,11,10,10,8,No,25-34,4001-6000
92,100090,46,9,2,Medical,Male,Single,Yes,Sales,200,48.0,9619,16,0,Travel_Rarely,Sales,3,Sales Executive,4,1,3,200,9,3,3,9,8,4,7,No,45-54,8001-12000
93,100091,40,1,4,Life Sciences,Male,Married,No,Research & Development,200,68.0,13503,22,1,Travel_Frequently,Research & Development,4,Healthcare Representative,2,1,2,200,22,3,2,22,3,11,11,No,35-44,12001-15000
94,100092,51,21,4,Marketing,Male,Single,No,Sales,200,27.0,5441,22,0,Travel_Rarely,Sales,2,Sales Executive,4,0,4,200,11,2,1,10,7,1,0,Yes,45-54,4001-6000
95,100093,30,4,2,Medical,Female,Divorced,No,Sales,200,26.0,5209,12,3,Travel_Rarely,Sales,2,Sales Executive,2,1,3,200,11,4,2,11,8,2,7,Yes,25-34,4001-6000
96,100094,46,1,3,Medical,Male,Married,No,Research & Development,200,53.0,10673,13,1,Travel_Frequently,Research & Development,3,Healthcare Representative,1,2,2,200,21,5,2,10,9,9,5,Yes,45-54,8001-12000
97,100095,32,6,4,Medical,Male,Single,No,Sales,200,25.0,5010,16,0,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,12,0,3,11,8,5,7,No,25-34,4001-6000
98,100096,54,2,4,Technical Degree,Female,Married,No,Research & Development,200,68.0,13549,12,1,Travel_Rarely,Research & Development,3,Research Director,3,9,3,200,16,5,1,4,3,0,3,No,45-54,12001-15000
99,100097,24,3,2,Other,Female,Married,No,Sales,200,25.0,4999,21,1,Travel_Rarely,Sales,2,Sales Executive,3,0,4,200,4,2,2,3,2,0,2,No,18-24,4001-6000
100,100098,28,4,3,Medical,Male,Married,No,Sales,200,21.0,4221,15,0,Non-Travel,Sales,2,Sales Executive,3,1,3,200,5,3,4,5,4,0,4,No,25-34,4001-6000
101,100099,58,10,4,Medical,Male,Single,No,Sales,200,69.0,13872,13,0,Travel_Rarely,Sales,4,Sales Executive,3,0,3,200,38,1,2,37,10,1,8,No,55-60,12001-15000
102,100100,44,23,3,Medical,Male,Married,No,Research & Development,200,10.0,2042,12,1,Non-Travel,Research & Development,2,Laboratory Technician,2,4,3,200,17,3,4,3,2,1,2,No,35-44,2001-4000
103,100101,37,6,4,Human Resources,Male,Divorced,Yes,Human Resources,200,10.0,2073,22,0,Travel_Rarely,Human Resources,1,Human Resources,1,4,4,200,7,3,3,3,2,0,2,Yes,35-44,2001-4000
104,100102,32,1,1,Life Sciences,Male,Single,No,Research & Development,200,15.0,2956,13,0,Travel_Rarely,Research & Development,1,Research Scientist,1,1,1,200,1,2,3,1,0,0,0,No,25-34,2001-4000
105,100103,20,6,3,Life Sciences,Female,Single,Yes,Research & Development,200,15.0,2926,18,0,Travel_Frequently,Research & Development,1,Laboratory Technician,4,1,3,200,1,5,3,1,0,1,0,Yes,18-24,2001-4000
106,100104,34,6,4,Other,Female,Single,No,Research & Development,200,24.0,4809,14,0,Travel_Rarely,Research & Development,2,Research Scientist,3,1,3,200,16,3,3,16,13,2,10,No,25-34,4001-6000
107,100105,37,2,2,Life Sciences,Male,Divorced,No,Research & Development,200,26.0,5163,14,1,Non-Travel,Research & Development,2,Healthcare Representative,4,5,3,200,17,2,4,1,0,0,0,No,35-44,4001-6000
108,100106,59,2,4,Human Resources,Female,Married,No,Human Resources,200,94.0,18844,21,1,Non-Travel,Human Resources,5,Manager,4,9,4,200,30,3,3,3,2,2,2,No,55-60,>15000
109,100107,50,1,3,Life Sciences,Female,Married,No,Research & Development,200,91.0,18172,19,0,Travel_Frequently,Research & Development,5,Research Director,2,3,3,200,28,1,2,8,3,0,7,Yes,45-54,>15000
110,100108,25,5,3,Marketing,Male,Single,Yes,Sales,200,29.0,5744,11,0,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,6,1,3,6,4,0,3,Yes,25-34,4001-6000
111,100108,25,5,3,Marketing,Male,Single,Yes,Sales,200,29.0,5744,11,0,Travel_Rarely,Sales,2,Sales Executive,2,1,3,200,6,1,3,6,4,0,3,Yes,25-34,4001-6000
112,100109,25,7,1,Medical,Male,Married,No,Research & Development,200,14.0,2889,11,2,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,2,2,3,2,2,2,1,No,25-34,2001-4000
113,100110,22,15,3,Medical,Female,Single,No,Research & Development,200,14.0,2871,15,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,5,3,0,0,0,0,No,18-24,2001-4000
114,100111,51,1,4,Medical,Female,Single,No,Research & Development,200,37.0,7484,20,0,Travel_Frequently,Research & Development,3,Healthcare Representative,1,3,2,200,23,1,2,13,12,12,8,No,45-54,6001-8000
115,100112,34,7,3,Life Sciences,Male,Single,Yes,Research & Development,200,30.0,6074,24,0,Travel_Frequently,Research & Development,2,Laboratory Technician,3,1,4,200,9,3,3,9,7,0,6,Yes,25-34,6001-8000
116,100113,54,26,3,Human Resources,Female,Single,No,Human Resources,200,87.0,17328,12,0,Non-Travel,Human Resources,4,Manager,4,2,3,200,23,3,3,5,3,4,4,Yes,45-54,>15000
117,100114,24,18,1,Life Sciences,Male,Married,No,Research & Development,200,14.0,2774,12,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,0,3,200,6,2,3,5,3,1,2,No,18-24,2001-4000
118,100115,34,6,4,Life Sciences,Female,Divorced,No,Research & Development,200,23.0,4505,15,1,Travel_Rarely,Research & Development,2,Research Scientist,2,6,3,200,12,3,3,1,0,0,0,No,25-34,4001-6000
119,100116,37,3,3,Life Sciences,Male,Single,No,Sales,200,37.0,7428,12,0,Travel_Rarely,Sales,3,Sales Executive,4,2,3,200,12,3,3,5,3,1,3,No,35-44,6001-8000
120,100117,34,5,3,Medical,Female,Single,No,Research & Development,200,58.0,11631,12,0,Travel_Rarely,Research & Development,3,Manager,1,2,3,200,14,6,3,11,10,5,8,No,25-34,8001-12000
121,100118,36,11,2,Technical Degree,Female,Married,No,Sales,200,49.0,9738,14,1,Travel_Frequently,Sales,3,Sales Executive,4,0,3,200,10,6,3,9,7,2,8,No,35-44,8001-12000
122,100119,36,3,2,Life Sciences,Female,Divorced,No,Research & Development,200,14.0,2835,22,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,5,4,200,7,2,3,1,0,0,0,No,35-44,2001-4000
123,100120,43,26,2,Life Sciences,Male,Married,No,Sales,200,85.0,16959,12,2,Travel_Frequently,Sales,4,Manager,4,1,3,200,25,3,4,25,12,4,12,Yes,35-44,>15000
124,100121,30,23,3,Life Sciences,Male,Divorced,No,Research & Development,200,13.0,2613,25,3,Travel_Frequently,Research & Development,1,Research Scientist,3,1,4,200,10,2,2,10,7,0,9,No,25-34,2001-4000
125,100122,33,22,2,Marketing,Male,Married,No,Sales,200,31.0,6146,13,1,Non-Travel,Sales,2,Sales Executive,2,0,3,200,8,2,4,7,7,0,7,No,25-34,6001-8000
126,100123,56,14,4,Life Sciences,Female,Married,Yes,Research & Development,200,25.0,4963,18,3,Travel_Rarely,Research & Development,1,Research Scientist,2,9,3,200,7,2,3,5,4,4,3,Yes,55-60,4001-6000
127,100124,51,6,3,Life Sciences,Male,Single,No,Research & Development,200,98.0,19537,13,0,Travel_Rarely,Research & Development,5,Research Director,3,7,3,200,23,5,3,20,18,15,15,No,45-54,>15000
128,100125,31,6,4,Life Sciences,Male,Married,Yes,Sales,200,31.0,6172,18,0,Travel_Rarely,Sales,2,Sales Executive,3,4,3,200,12,3,2,7,7,7,7,Yes,25-34,6001-8000
129,100126,26,6,3,Other,Female,Married,No,Research & Development,200,12.0,2368,19,0,Travel_Rarely,Research & Development,1,Research Scientist,2,1,2,200,5,3,2,5,4,4,3,No,25-34,2001-4000
130,100127,58,23,4,Medical,Female,Married,Yes,Research & Development,200,52.0,10312,12,1,Travel_Rarely,Research & Development,3,Healthcare Representative,4,1,3,200,40,3,2,40,10,15,6,No,55-60,8001-12000
131,100128,19,22,1,Marketing,Male,Single,Yes,Sales,200,8.0,1675,19,0,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,0,2,2,0,0,0,0,Yes,18-24,1000-2000
132,100129,22,2,1,Technical Degree,Male,Married,No,Research & Development,200,13.0,2523,14,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,0,3,200,3,2,3,2,1,2,1,No,18-24,2001-4000
133,100130,49,20,4,Medical,Female,Married,No,Research & Development,200,33.0,6567,14,0,Travel_Rarely,Research & Development,2,Manufacturing Director,1,1,2,200,16,2,2,15,11,5,11,No,45-54,6001-8000
